V,I,G,P,no_module_fault,fault,partial_shading
142.93527,9.76027,843.38108,1395.0868277229,0,0,0
141.56287,9.75563,843.15774,1381.0349814581,0,0,0
139.2934,9.81992,843.62081,1367.850044528,0,0,0
140.2627,9.7876,843.73386,1372.83520252,0,0,0
139.96069,9.83281,843.94102,1376.2068722389,0,0,0
140.03069,9.81424,844.07856,1374.2947990256,0,0,0
140.11425,9.78056,844.03661,1370.39582898,0,0,0
138.36808,9.78755,843.87821,1354.284501404,0,0,0
141.17234,9.82368,844.0909,1386.8318930112,0,0,0
142.38514,9.8004,843.9687,1395.431326056,0,0,0
137.24303,9.77439,844.28848,1341.4669000017,0,0,0
141.19324,9.79329,844.41324,1382.7463453596,0,0,0
142.16381,9.79182,844.12965,1392.0424380342,0,0,0
138.89315,9.80489,844.22354,1361.8320575035,0,0,0
141.04727,9.77099,843.9159,1378.1714646973,0,0,0
140.17945,9.7998,844.54865,1373.73057411,0,0,0
138.18126,9.78274,844.44496,1351.7913394524,0,0,0
142.40185,9.78346,844.16947,1393.182803401,0,0,0
137.83724,9.85034,844.36108,1357.7436786616,0,0,0
139.51382,9.78449,844.28912,1365.0715766518,0,0,0
142.40736,9.75481,844.28401,1389.1567394016,0,0,0
138.29479,9.82487,844.09388,1358.7283334273,0,0,0
142.53096,9.82779,844.05833,1400.7643433784,0,0,0
137.50835,9.78844,844.66937,1345.992233474,0,0,0
141.12486,9.79626,844.46093,1382.4958210236,0,0,0
136.23956,9.7954,844.16287,1334.520986024,0,0,0
139.5614,9.78448,844.71471,1365.535727072,0,0,0
139.35495,9.81106,844.62913,1367.219775747,0,0,0
138.44866,9.77992,844.32914,1354.0168189072,0,0,0
138.73756,9.78124,844.57228,1357.0253713744,0,0,0
140.50236,9.81856,844.44284,1379.5308518016,0,0,0
137.36977,9.76994,844.49223,1342.0944107138,0,0,0
141.35627,9.79333,844.3696,1384.3485996791,0,0,0
141.11524,9.78371,844.1371,1380.6305847404,0,0,0
138.98703,9.78901,844.47413,1360.5454265403,0,0,0
135.54013,9.80158,844.64808,1328.5074274054,0,0,0
141.11833,9.81363,844.09963,1384.8830768379,0,0,0
